Month,Date_of_1st_session,Population,Sex,ID,Location,no_RF,Immigrant,Pre_census,Note
June,6,A,,1,A,,,,
June,6,A,,2,A,,,,
June,6,A,,6,A,,,,
June,6,A,,11,A,,,,
June,6,A,,13,A,,,,
June,6,A,,14,O,,,,lost tag while relocating
June,6,A,,15,A,,,,
June,6,A,,18,A,,,,
June,6,A,,19,A,,,,
June,6,A,,20,O,,,,
June,6,A,,21,A,,,,
June,6,A,,24,A,,,,
June,6,A,,25,A,1,,,
June,6,A,,26,A,,,,
June,6,A,,28,A,,,,
June,6,A,,30,A,,,,
June,6,A,,93,A,,,,
June,6,A,,95,A,,,,
June,6,A,,96,A,,,,
June,6,A,,97,A,,,,
June,6,A,,100,A,,,,
June,6,A,,74,A,,,,
June,6,A,,75,A,,,,
June,6,A,,77,A,,,,
June,6,A,,78,A,1,,,
June,6,A,,81,A,,,,
June,6,A,,82,N,,,,
June,6,A,,83,A,,,,
June,6,A,,84,A,1,,,
June,6,A,,85,A,,,,
June,6,A,,86,A,,,,
June,6,A,,87,A,,,,
June,6,A,,89,A,,,,
June,6,A,,90,N,,,,
June,6,A,,91,A,,,,
June,6,A,,16,A,1,,1,
June,6,A,,97,A,1,,1,
June,6,A,,22,A,1,,1,
June,6,A,,3,A,1,,1,
June,6,A,,4,A,1,,1,
June,6,A,,76,A,1,,1,
June,6,A,,86,A,1,,1,
June,6,A,M,,,,1,1,
June,6,A,M,,,,1,1,
June,6,A,M,,,,1,1,
June,6,A,M,,,,1,1,
June,6,A,F,,,,1,1,
June,6,A,F,,,,1,1,
June,6,A,F,99,O,,,1,
June,6,A,F,27,O,,,1,
June,7,A,,1,A,1,,1,
June,7,A,,2,A,1,,,
June,7,A,,3,A,1,,,
June,7,A,,5,A,,,,
June,7,A,,10,A,1,,,
June,7,A,,13,A,,,,
June,7,A,,15,A,,,,
June,7,A,,18,A,,,,
June,7,A,,19,A,,,,
June,7,A,,20,A,,,,
June,7,A,,21,A,,,,
June,7,A,,22,A,1,,,
June,7,A,,24,A,,,,
June,7,A,,25,A,1,,,
June,7,A,,28,A,1,,,
June,7,A,,30,A,,,,
June,7,A,,92,N,1,,,
June,7,A,,93,A,,,,
June,7,A,,95,A,1,,,
June,7,A,,96,A,1,,,
June,7,A,,100,A,,,,
June,7,A,,73,A,1,,,
June,7,A,,74,A,1,,,
June,7,A,,75,N,,,,
June,7,A,,77,A,,,,
June,7,A,,78,A,1,,,
June,7,A,,79,A,1,,,
June,7,A,,80,A,1,,,
June,7,A,,81,A,,,,
June,7,A,,83,A,1,,,
June,7,A,,84,A,1,,,
June,7,A,,85,A,,,,
June,7,A,,87,A,1,,,
June,7,A,,89,N,1,,,
June,7,A,,90,A,,,,
June,7,A,,91,A,,,,
June,7,A,F,,,,1,,
June,7,A,F,,,,1,,
June,7,A,F,,,,1,,
June,7,A,F,,,,1,,
June,8,C,,2,C,1,,,
June,8,C,,5,C,,,,
June,8,C,,6,C,,,,
June,8,C,,62,C,,,,
June,8,C,,63,C,,,,
June,8,C,,68,C,,,,
June,8,C,,73,C,1,,,
June,8,C,,79,C,,,,
June,8,C,,83,C,,,,
June,8,C,,88,C,,,,
June,8,C,,89,C,,,,
June,8,C,,90,C,1,,,
June,8,C,,96,C,,,,
June,8,C,,93,C,,,,
June,8,C,,94,C,,,,
June,8,A,,10,A,1,,1,
June,8,A,,22,A,1,,1,
June,8,A,,28,A,1,,1,
June,8,A,,7,A,1,,1,
June,8,A,,12,A,1,,1,
June,8,A,,2,A,1,,1,
June,8,A,,27,A,1,,1,
June,8,A,,96,A,1,,1,
June,8,A,,74,A,1,,1,
June,8,A,,97,A,1,,1,
June,8,A,,87,A,1,,1,
June,8,A,,90,A,1,,1,
June,8,A,,95,A,1,,1,
June,8,A,,75,A,1,,1,
June,8,A,,89,A,1,,1,
June,8,A,,84,A,1,,1,
June,8,A,,93,A,1,,1,
June,8,A,,79,A,1,,1,
June,8,A,,82,A,1,,1,
June,8,A,,83,A,1,,1,
June,8,A,,80,A,1,,1,
June,8,A,,92,A,1,,1,
June,9,A,,2,A,1,,,
June,9,A,,3,A,1,,,
June,9,A,,11,A,1,,,
June,9,A,,15,A,1,,,
June,9,A,,19,A,,,,
June,9,A,,20,A,,,,
June,9,A,,21,A,,,,
June,9,A,,22,A,1,,,
June,9,A,,23,A,,,,
June,9,A,,24,A,,,,
June,9,A,,26,N,,,,
June,9,A,,28,A,1,,,
June,9,A,,29,A,1,,,
June,9,A,,96,A,1,,,
June,9,A,,77,A,,,,
June,9,A,,79,A,1,,,
June,9,A,,85,A,,,,
June,9,A,,87,A,1,,,
June,9,A,,89,A,,,,
June,9,A,,90,A,1,,,
June,9,A,F,,,,,,
June,10,A,,11,A,1,,,
June,10,A,,12,N,1,,,
June,10,A,,15,A,1,,,
June,10,A,,18,A,,,,
June,10,A,,20,A,,,,
June,10,A,,22,A,,,,
June,10,A,,24,A,,,,
June,10,A,,26,A,,,,
June,10,A,,28,A,,,,
June,10,A,,30,A,,,,
June,10,A,,99,A,,,,
June,10,A,,100,A,,,,
June,10,A,,85,A,1,,,
June,10,A,,89,N,,,,
June,10,A,,91,O,,,,
June,10,A,,96,,1,,1,
June,11,A,,24,A,,,,
June,11,A,,26,A,,,,
June,11,A,,30,N,,,,
June,11,A,,66,O,,,,
June,11,A,,83,A,,,,
June,12,A,,2,A,1,,,
June,12,A,,11,A,1,,,
June,12,A,,16,N,1,,,
June,12,A,,24,N,,,,
June,12,A,,84,A,1,,,
June,12,A,F,,A,,1,,
June,12,A,F,,A,,1,,
June,12,A,F,,A,,1,,
June,12,A,M,,A,,1,,
June,13,A,,2,A,1,,,
June,13,A,,18,O,,,,
June,13,A,,21,A,1,,,
June,13,A,,24,A,,,,
June,13,A,,25,A,1,,,
June,14,A,,2,A,,,,
June,14,A,,24,N,,,,
June,15,A,,2,A,1,,,
June,15,A,,18,A,1,,,
June,15,A,,24,A,,,,
June,16,A,,2,A,1,,,
June,16,A,,16,A,1,,,
June,16,A,,24,A,,,,
June,16,A,,25,A,1,,,
June,16,A,F,,A,,1,,
June,16,A,M,,A,,1,,
June,17,A,,24,A,,,,
June,17,A,,90,A,1,,,
June,17,A,M,,,,1,,
June,6,B,,1,B,,,,
June,6,B,,2,B,,,,
June,6,B,,7,B,,,,
June,6,B,,8,O,,,1,
June,6,B,,10,B,,,,
June,6,B,,11,N,1,,,
June,6,B,,12,B,,,,
June,6,B,,14,N,,,,
June,6,B,,15,B,,,,
June,6,B,,17,B,,,,
June,6,B,,21,N,,,,
June,6,B,,23,B,,,,
June,6,B,,24,B,,,,
June,6,B,,25,B,1,,,
June,6,B,,28,B,,,,
June,6,B,,29,N,,,,
June,6,B,,32,B,,,,
June,6,B,,34,B,,,,
June,6,B,,35,B,,,,
June,6,B,,39,B,,,,
June,6,B,,40,B,,,,
June,6,B,,42,B,,,,
June,6,B,,43,B,,,,
June,6,B,,92,B,,,,
June,6,B,,93,B,,,,
June,6,B,,94,B,,,,
June,6,B,,95,B,,,,
June,6,B,,96,B,,,,
June,6,B,,87,B,,,,
June,6,B,,88,B,,,,
June,6,B,,89,B,,,,
June,6,B,F,,B,,1,,
June,6,B,F,,B,,1,,
June,6,B,,25,B,1,,1,
June,6,B,,19,B,1,,1,
June,6,B,,99,B,,,1,Known predation(spider)
June,6,B,M,,B,1,,1,
June,7,B,,1,B,,,,
June,7,B,,2,B,,,,
June,7,B,,3,B,,,,
June,7,B,,7,B,,,,
June,7,B,,10,B,,,,
June,7,B,,11,B,1,,,
June,7,B,,12,B,1,,,
June,7,B,,14,B,,,,
June,7,B,,21,B,,,,
June,7,B,,23,B,1,,,
June,7,B,,24,B,,,,
June,7,B,,28,B,,,,
June,7,B,,29,B,1,,,
June,7,B,,32,B,,,,
June,7,B,,33,B,1,,,
June,7,B,,37,B,1,,,
June,7,B,,38,B,1,,,
June,7,B,,40,B,,,,
June,7,B,,42,B,,,,
June,7,B,,43,B,1,,,
June,7,B,,93,B,,,,
June,7,B,,95,B,1,,,
June,7,B,,96,B,1,,,
June,7,B,,100,B,1,,,
June,7,B,,88,N,,,,
June,7,B,,89,B,1,,,
June,7,B,,90,B,1,,,
June,7,B,F,,B,,1,,
June,7,B,F,,B,,1,,
June,7,B,M,,B,,1,,
June,7,B,M,,B,,,,
June,8,B,,16,B,1,,1,
June,8,B,,20,B,1,,1,
June,8,B,,43,B,1,,1,
June,8,B,,11,B,1,,1,
June,8,B,,10,B,1,,1,
June,8,B,,27,B,1,,1,
June,8,B,,38,B,1,,1,
June,8,B,,12,B,1,,1,
June,8,B,,31,B,1,,1,
June,8,B,,5,B,1,,1,
June,8,B,,33,B,1,,1,
June,8,B,,34,B,1,,1,
June,8,B,,37,B,1,,1,
June,8,B,,97,B,1,,1,
June,8,B,,90,B,1,,1,
June,8,B,,93,B,1,,1,
June,8,B,,89,B,1,,1,
June,8,B,M,,B,,,1,
June,8,B,,1,B,,,,
June,8,B,,2,B,,,,
June,8,B,,10,B,,,,
June,8,B,,12,B,,,,
June,8,B,,24,B,,,,
June,8,B,,93,B,1,,,
June,8,B,,94,B,,,,
June,8,B,,96,B,,,,
June,8,B,,88,B,,,,
June,8,B,,38,B,1,,,
June,8,B,,33,B,1,,,
June,8,B,,21,B,,,,
June,8,B,,40,B,,,,
June,8,B,,42,B,,,,
June,8,B,,31,B,1,,,
June,8,B,,,B,,,,
June,8,B,,,B,,,,
June,9,B,,1,B,,,,
June,9,B,,20,N,1,,,
June,9,B,,21,B,,,,
June,9,B,,23,B,1,,,
June,9,B,,24,B,,,,
June,9,B,,29,B,,,,
June,9,B,,36,N,1,,,
June,9,B,,40,B,1,,,
