Month,Day_of_1st_session,Time,Population,Male,Female,Mating,Dispersal,Notes
June,6,2300,A,12,,,N,
June,6,2304,A,24,97,1,,
June,6,103,A,,92,,N,
June,6,125,A,22,75,1,,
June,6,500,A,,93,1,,
June,6,530,A,,96,1,,
June,7,2145,A,,75,1,,
June,7,2223,A,,93,1,,
June,7,410,A,20,90,,,
June,7,434,A,3,84,1,,
June,8,2141,A,12,,,O,
June,8,2147,A,19,,,,
June,8,2150,A,15,,,,
June,8,2135,A,5,,,N,
June,8,2140,A,26,,,N,
June,8,2248,A,15,,,,
June,8,2248,A,20,,,,
June,8,2250,A,19,,,,
June,8,2250,A,15,,,,
June,9,2215,A,19,99,1,,
June,9,2223,A,,73,,O,
June,9,2308,A,11,96,,,
June,9,40,A,,89,1,,
June,10,958,A,20,,,,
June,10,958,A,,90,,,
June,10,959,A,30,,,,
June,10,1000,A,,99,,,
June,10,1004,A,11,,,,
June,10,1005,A,28,,,,
June,10,1007,A,18,,,,
June,10,1010,A,,91,,,
June,10,1014,A,,87,,,
June,10,1130,A,31,,,,
June,10,1131,A,2,,,,
June,10,1134,A,24,,,,
June,10,1134,A,,91,,,
June,10,1136,A,,96,,,
June,10,1138,A,,100,,,
June,10,1149,A,2,,,,
June,10,1158,A,29,,,,
June,10,204,A,24,,,,
June,10,210,A,,89,,N,
June,11,2207,A,26,,,N,
June,11,2212,A,28,,,,
June,11,2223,A,,100,,,
June,11,2300,A,,99,,N,
June,11,,A,26,,,N,
June,11,,A,25,,,N,
June,11,,A,,84,,N,
June,11,125,A,,99,1,,mated with unmarked male
June,11,125,A,,83,,,
June,11,131,A,21,,,,
June,12,2145,A,26,,,N,
June,12,2230,A,,FRF,1,,maybe mated in previous night
June,6,2237,B,18,,,O,
June,6,2238,B,26,,,O,
June,6,100,B,14,,,,
June,6,530,B,,96,1,,
June,7,,B,30,,,O,
June,8,2155,B,24,,,,
June,8,2200,B,42,,,,
June,8,2207,B,21,,,,
June,8,2231,B,27,,,O,
June,8,2232,B,,88,,O,
June,8,2256,B,11,,,,
June,8,2256,B,2,,,,
June,8,2256,B,10,,,,
June,8,2258,B,27,,,,
June,8,2306,B,31,,,O,
June,8,2309,B,5,,,O,
June,10,2303,B,24,,,,
June,10,2304,B,MRF,,,,
June,10,2309,B,40,,,,
June,10,2309,B,1,,,,
June,10,2310,B,,96,,,
June,10,2312,B,42,,,,
June,10,2313,B,31,,,,
June,10,2315,B,2,,,,
June,10,2318,B,,93,,,
June,10,2319,B,36,,,,
June,10,2321,B,21,,,,
June,10,2322,B,11,,,,
June,10,2327,B,25,,,,
June,10,2348,B,87,,,,
June,10,2352,B,11,,,O,
June,10,2353,B,31,,,,
June,10,2354,B,40,,,,
June,10,2356,B,29,,,,
June,10,2359,B,28,,,,
June,10,4,B,25,,,,
June,10,5,B,42,,,,
June,10,6,B,2,,,,
June,10,201,B,21,,,,
June,10,203,B,MRF,,,,
June,10,206,B,28,,,,
June,10,213,B,31,,,,
June,10,215,B,21,,,,
June,6,945,C,,95,1,,
June,6,2249,C,,71,,,
June,6,2336,C,,95,,,
June,6,23,C,,63,,O,laying eggs
June,6,53,C,,63,,O,
June,6,100,C,,56,1,,
June,6,100,C,,?,1,,
June,6,400,C,,93,1,,
June,6,400,C,5,92,1,,
June,7,,C,,72,,O,
June,8,2210,C,1,,,,
June,8,2220,C,5,,,,
June,8,2228,C,4,,,,
June,8,2330,C,,79,,N,
June,8,10,C,,70,,,
June,9,103,C,6,89,1,,
June,10,1036,C,,80,,,
June,10,1039,C,1,,,,
June,10,1041,C,5,,,,
June,10,1043,C,3,,,,
June,10,1044,C,,59,,,
June,10,1045,C,,96,,,
June,10,1045,C,,83,,,
June,10,1046,C,,89,,,
June,10,1050,C,,80,,,
June,10,1050,C,,90,,,
June,10,1051,C,,?,,,unmarked female with spermatophore
June,10,1051,C,14,,,,
June,10,1054,C,2,,,,
June,10,1058,C,,94,,,
June,10,1152,C,14,,,,
June,10,1158,C,2,,,,
June,10,159,C,,29,,,
June,10,159,C,1,,,,
June,10,345,C,12,66,1,,
June,11,2135,C,14,,,,
June,12,2204,C,14,,,,
June,12,2250,C,,FRF,,,
June,12,2252,C,6,,,,
June,8,2225,D,,72,1,,
June,8,17,D,,55,,,
June,8,31,D,,72,,,
June,8,33,D,11,,,,
June,8,400,D,4,53,,,
June,8,406,D,,83,1,,male 2 or 11 closest
June,9,2155,D,,72,1,,
June,9,2200,D,2,67,,,
June,9,2258,D,2,78,1,,
June,9,2305,D,7,51,1,,
June,9,2347,D,,51,1,,
June,9,2350,D,2,78,1,,
June,9,2351,D,,72,1,,
June,9,2,D,,49,,,
June,10,2250,D,,78,1,,
June,10,2254,D,,53,1,,
June,10,2256,D,,91,,N,
June,10,2303,D,4,69,,,
June,10,20,D,4,,,,
June,10,25,D,3,,,,
June,10,32,D,4,69,,,
June,10,111,D,14,,,,
June,10,113,D,5,,,,
June,10,114,D,4,65,,,
June,10,120,D,7,,,,
June,11,2216,D,10,80,1,,
June,11,2313,D,8,87,1,,
June,11,2319,D,8,87,,,
