Population,Sex,Treatment,ID,Weight,Femur,Injury
A,F,0.5,100,682,19.37,
A,F,0.5,99,835,18.91,
A,F,0.5,98,714,18.86,
A,F,0.5,97,580,19.19,
A,F,0.5,96,674,18.18,
A,F,0.5,95,623,18.77,
A,F,0.5,94,706,18.3,
A,F,0.5,93,606,19,
A,F,0.5,92,576,18.56,1
A,F,0.5,91,642,18.86,
A,F,0.5,90,436,18.39,
A,F,0.5,89,683,19.49,
A,F,0.5,88,685,18.41,
A,F,0.5,87,757,17.81,
A,F,0.5,86,721,18.4,
A,F,0.5,85,695,17.89,
A,F,0.5,84,542,19.07,1
A,F,0.5,83,777,19.64,
A,F,0.5,82,858,19,
A,F,0.5,81,521,15.8,
A,F,0.5,80,795,18.53,
A,F,0.5,79,672,18.8,
A,F,0.5,78,815,18.8,
A,F,0.5,77,779,19.53,
A,F,0.5,76,769,19.08,
A,F,0.5,75,643,17.58,
A,F,0.5,74,722,18.72,
A,F,0.5,73,836,19.55,1
A,M,0.5,1,675,18.6,
A,M,0.5,2,674,19.56,
A,M,0.5,3,634,18.09,
A,M,0.5,4,727,17.46,
A,M,0.5,5,592,15.73,
A,M,0.5,6,481,17.22,
A,M,0.5,7,679,17.26,
A,M,0.5,8,595,17.5,
A,M,0.5,10,590,17.03,
A,M,0.5,11,504,16.8,
A,M,0.5,12,637,16.78,
A,M,0.5,13,631,16.38,
A,M,0.5,14,658,18.07,
A,M,0.5,15,674,18.14,
A,M,0.5,16,555,17.55,1
A,M,0.5,18,529,16.15,
A,M,0.5,19,538,17.87,
A,M,0.5,20,679,17.45,
A,M,0.5,21,518,16.92,1
A,M,0.5,22,483,16.68,
A,M,0.5,23,608,18.01,
A,M,0.5,24,629,18.34,
A,M,0.5,25,571,17.96,
A,M,0.5,26,702,17.38,
A,M,0.5,27,590,16.51,
A,M,0.5,28,579,17.15,1
A,M,0.5,29,623,18.13,
A,M,0.5,30,573,18.24,
B,M,0.75,1,590,18.42,
B,M,0.75,2,550,17.97,1
B,M,0.75,3,660,16.79,
B,M,0.75,4,483,16.91,
B,M,0.75,5,589,17.15,1
B,M,0.75,6,516,16.86,
B,M,0.75,7,560,17.32,
B,M,0.75,8,687,18.45,1
B,M,0.75,10,558,18.4,
B,M,0.75,11,775,19.16,
B,M,0.75,12,493,16.25,
B,M,0.75,13,628,17.62,
B,M,0.75,14,773,17.68,
B,M,0.75,15,516,16.96,1
B,M,0.75,16,464,15.68,
B,M,0.75,17,639,17.06,
B,M,0.75,18,562,16.73,
B,M,0.75,19,683,17.78,
B,M,0.75,20,623,17.15,
B,M,0.75,21,660,17.88,
B,M,0.75,22,527,17.29,
B,M,0.75,23,494,17.56,
B,M,0.75,24,610,16.6,
B,M,0.75,25,531,16.77,1
B,M,0.75,26,620,16.32,
B,M,0.75,27,658,17.75,
B,M,0.75,28,644,17.32,
B,M,0.75,29,632,17.2,
B,M,0.75,30,625,17.96,
B,M,0.75,31,556,16.26,
B,M,0.75,32,521,18.68,
B,M,0.75,33,710,17.15,
B,M,0.75,34,610,18.69,
B,M,0.75,35,555,17.95,
B,M,0.75,36,579,17.47,
B,M,0.75,37,692,17.05,
B,M,0.75,38,600,18.13,
B,M,0.75,39,606,18.38,
B,M,0.75,40,480,17.12,
B,M,0.75,41,735,19.12,
B,M,0.75,42,604,17.14,
B,M,0.75,43,527,16.48,
B,F,0.75,100,669,19.63,
B,F,0.75,99,543,19.1,
B,F,0.75,98,785,18.95,
B,F,0.75,97,702,17.98,
B,F,0.75,96,635,18.57,
B,F,0.75,95,520,18.17,
B,F,0.75,94,666,18.6,
B,F,0.75,93,683,17.98,
B,F,0.75,92,782,19.24,
B,F,0.75,91,849,18.94,
B,F,0.75,90,753,18.97,
B,F,0.75,89,806,17.55,
B,F,0.75,88,809,18.71,
B,F,0.75,87,753,19.33,
C,F,0.25,100,725,17.36,
C,F,0.25,99,739,18.41,
C,F,0.25,98,664,18,
C,F,0.25,97,656,17.88,
C,F,0.25,96,808,21.07,
C,F,0.25,95,655,17.88,
C,F,0.25,94,795,18.44,
C,F,0.25,93,696,18.55,
C,F,0.25,92,777,19.58,
C,F,0.25,91,655,19.76,
C,F,0.25,90,432,18.01,
C,F,0.25,89,607,18.93,
C,F,0.25,88,528,17.89,1
C,F,0.25,87,673,19.07,
C,F,0.25,86,640,18.9,1
C,F,0.25,85,760,19.38,
C,F,0.25,84,646,18.06,
C,F,0.25,83,527,17.57,
C,F,0.25,82,663,18.3,
C,F,0.25,81,725,19.13,
C,F,0.25,80,758,20.01,
C,F,0.25,79,751,18.74,
C,F,0.25,78,702,18.19,
C,F,0.25,77,624,17.2,1
C,F,0.25,76,796,16.86,
C,F,0.25,75,706,19.58,
C,F,0.25,74,635,18.1,
C,F,0.25,73,666,18.05,
C,F,0.25,72,890,18.78,
C,F,0.25,71,781,18.7,
C,F,0.25,70,752,18.62,
C,F,0.25,69,747,18.5,
C,F,0.25,68,751,18.79,
C,F,0.25,67,768,17.62,
C,F,0.25,66,962,22.04,
C,F,0.25,65,825,18.04,
C,F,0.25,64,634,19.63,1
C,F,0.25,63,751,19.65,
C,F,0.25,62,502,18.07,1
C,F,0.25,61,728,18.65,
C,F,0.25,60,649,19.2,
C,F,0.25,59,724,18.74,
C,M,0.25,1,575,16.84,
C,M,0.25,2,777,18.46,
C,M,0.25,3,622,17.81,
C,M,0.25,4,594,17.85,
C,M,0.25,5,586,17.4,
C,M,0.25,6,726,17.81,
C,M,0.25,7,762,17.55,
C,M,0.25,8,607,16.37,
C,M,0.25,10,602,15.97,
C,M,0.25,11,439,15.64,
C,M,0.25,12,525,16.84,
C,M,0.25,13,490,17.04,1
C,M,0.25,14,644,17.5,
C,M,0.25,15,676,16.1,
D,M,0.25,1,668,17.01,
D,M,0.25,2,670,17.18,
D,M,0.25,3,626,17.42,
D,M,0.25,4,598,17.74,
D,M,0.25,5,688,16.5,
D,M,0.25,6,468,18,
